name,artist,cover_url,album_url,album_path
Paint the Sky with Blood,Bodom-After-Midnight,https://i.scdn.co/image/ab67616d0000b2737527a139d084896334d34a50,https://open.spotify.com/album/6TMCI01byEtKKnGZHuzFUe,metal/Paint-the-Sky-with-Blood-Bodom-After-Midnight.jpg
The Wrong Side Of Heaven & The Righteous Side Of Hell,Five-Finger-Death-Punch,https://i.scdn.co/image/ab67616d0000b27388e1da22d7c19fe229857680,https://open.spotify.com/album/2a2UTZzvy4AA68SdiF6hw8,metal/The-Wrong-Side-Of-Heaven-&-The-Righteous-Side-Of-Hell-Five-Finger-Death-Punch.jpg
The Undertaker,Accept,https://i.scdn.co/image/ab67616d0000b2733bb331ad475c2c074a24cc39,https://open.spotify.com/album/2Ik9ocKBxRseYSLsd6FAId,metal/The-Undertaker-Accept.jpg
Beast of Gévaudan,Powerwolf,https://i.scdn.co/image/ab67616d0000b273e0c2d5b7d5842299671c7320,https://open.spotify.com/album/3RZyovebrHF5y395RNRR9N,metal/Beast-of-Gévaudan-Powerwolf.jpg
Warriors,Warkings,https://i.scdn.co/image/ab67616d0000b2738e90c51c0c78b2ad252fb4fd,https://open.spotify.com/album/7A6wd0u82G5vJujTVkxupk,metal/Warriors-Warkings.jpg
Down and Out,Savage-Messiah,https://i.scdn.co/image/ab67616d0000b273d1715636894d4027c585d3a7,https://open.spotify.com/album/5oJdANHLwnB7wxDuoAkTOq,metal/Down-and-Out-Savage-Messiah.jpg
Die by the Blade,Beast-In-Black,https://i.scdn.co/image/ab67616d0000b2734365a8d9113c2b6ea372654c,https://open.spotify.com/album/3cWywjglsOprND0106Mv1s,metal/Die-by-the-Blade-Beast-In-Black.jpg
Omega,Epica,https://i.scdn.co/image/ab67616d0000b2739c939252c5024c6584db122b,https://open.spotify.com/album/4Hb5cbP4Z9H9G1HavAra4q,metal/Omega-Epica.jpg
I Am Alive,Primal-Fear,https://i.scdn.co/image/ab67616d0000b27395eb99deccb1bc8ef5e13e5c,https://open.spotify.com/album/56wjvKdJl6Z6StD13Epcn8,metal/I-Am-Alive-Primal-Fear.jpg
Fear of the Fallen,Helloween,https://i.scdn.co/image/ab67616d0000b27331bf04d41a676b83e4c879e9,https://open.spotify.com/album/4FOtnQvfbsMo5kEaXQ59Kg,metal/Fear-of-the-Fallen-Helloween.jpg
Werewolves of Armenia (New Version 2020),Powerwolf,https://i.scdn.co/image/ab67616d0000b273e0f97bab2313902ab9239e2b,https://open.spotify.com/album/0pcyE5m2GWpW8CsYv0BiMk,metal/Werewolves-of-Armenia-(New-Version-2020)-Powerwolf.jpg
Slave to the Machine,Liv-Sin,https://i.scdn.co/image/ab67616d0000b273694f8b6bfbbbc85334fb4008,https://open.spotify.com/album/7CAykEzILsn3uIOGM5NRpo,metal/Slave-to-the-Machine-Liv-Sin.jpg
Armed To The Teeth,Annihilator,https://i.scdn.co/image/ab67616d0000b273713982ad06df48487ca07244,https://open.spotify.com/album/5b30EK9tx0jYfn7DP38rNn,metal/Armed-To-The-Teeth-Annihilator.jpg
Odin's Sons (feat. The Queen of the Damned),Warkings,https://i.scdn.co/image/ab67616d0000b273fe8054d889449ba97e6add73,https://open.spotify.com/album/4fRKJfYPKCNKk7wfhVxTYi,metal/Odin's-Sons-(feat.-The-Queen-of-the-Damned)-Warkings.jpg
The Gathering,Testament,https://i.scdn.co/image/ab67616d0000b273f1897a3debc7d085fcaa901c,https://open.spotify.com/album/0dYgfOuAerUldWRodoOR6J,metal/The-Gathering-Testament.jpg
Memento Mori,Lamb-of-God,https://i.scdn.co/image/ab67616d0000b27368d6aecdf7f4b2fcefc4335b,https://open.spotify.com/album/7jBx6OxyVMHSmAzLHxchIh,metal/Memento-Mori-Lamb-of-God.jpg
