album_id,album_name,cover_location,artist,track_id,track_name,popularity,explicit,danceability,energy,key,loudness,modality,valence,speechiness,genre
1jTRS4KS666BesH1GUHyEV,AM-Remix,image-data/latin/AM-Remix-Nio-Garcia.jpg,Nio-Garcia,05bfbizlM5AX6Mf1RRyMho,AM-Remix,93,True,0.743,0.655,6,-5.015,0,0.785,0.159,latin
0B4eikFaUJcf3hc6DaSVov,Love-Stuff,image-data/pop/Love-Stuff-Elle-King.jpg,Elle-King,70eDxAyAraNTiD6lx2ZEnH,Ex's-&-Oh's,71,False,0.612,0.9209999999999999,7,-2.8819999999999997,1,0.446,0.085,pop
27FDExxvG3h3XCUcJVlVSY,HUSH,image-data/kpop/HUSH-miss-A.jpg,miss-A,7hCnoPpEDBMGnooYnOCRPX,남자-없이-잘-살아,44,False,0.753,0.757,0,-4.004,1,0.893,0.0366,kpop
5pQwQRnQOuKrbVUVnGMEN4,Real-Hasta-la-Muerte,image-data/latin/Real-Hasta-la-Muerte-Anuel-AA.jpg,Anuel-AA,0FDMH2ahuIVzCybwHJK9zh,Quiere-Beber,67,False,0.773,0.57,8,-3.4819999999999998,1,0.772,0.113,latin
5Vls8d2RDrvp9tDLaIlOzv,Before-Space,image-data/edm/Before-Space-Anthonie.jpg,Anthonie,19dCwk8PBOWfI6tgtEMXz1,Imagine-Flow,17,False,0.856,0.126,4,-22.379,1,0.8220000000000001,0.0763,edm
5IJm0boSQuEBLiYNZJKV2Y,Sixteen-Stone-(Remastered),image-data/alternative/Sixteen-Stone-(Remastered)-Bush.jpg,Bush,7wpYSigAhQeZp3cdsMQ3Af,Glycerine,64,False,0.43700000000000006,0.337,5,-11.439,1,0.0784,0.0326,alternative
5iCMSTRkcSaAPOnTL9KcEs,Classics-for-Creativity,image-data/classical/Classics-for-Creativity-Various-Artists.jpg,Various-Artists,3z3nJD2LEW3yFMaEjjGerZ,Deux-Arabesques-L.-66:-No.-1-Andante-con-moto,39,False,0.284,0.0189,4,-26.936,1,0.0575,0.0353,classical
2zzmIdVneqgcQVkKicolqF,Lonely-As-I-Ever-Was,image-data/indie/Lonely-As-I-Ever-Was-Spencer..jpg,Spencer.,1eYHAdDUKLUUWn0lhZgyUz,Lonely-As-I-Ever-Was,50,False,0.613,0.602,2,-9.939,1,0.147,0.0734,indie
2AH53pDM2S1jAggLLAueAM,Native-Sons,image-data/blues/Native-Sons-Los-Lobos.jpg,Los-Lobos,2Oj2Z5hy2eJ9NTXLSBWEHG,Native-Son,40,False,0.565,0.532,7,-6.856,1,0.76,0.0255,blues
0uXYCRIhNHLApjONURxZC9,Bach:-Isabelle-Perrin-&-Shigenori-Kudo,image-data/classical/Bach:-Isabelle-Perrin-&-Shigenori-Kudo-Johann-Sebastian-Bach.jpg,Johann-Sebastian-Bach,0DqjFJY7PF2f7lwO4n5pE3,"Lute-Suite-in-E-Minor,-BWV-996:-III.-Courante---Arr.-for-Harp",39,False,0.45899999999999996,0.0642,3,-23.683000000000003,0,0.22399999999999998,0.0505,classical
2e3TvxplnFh1HcFUcSe39u,Don’t-Need-Your-Love,image-data/kpop/Don’t-Need-Your-Love-NCT-DREAM.jpg,NCT-DREAM,7oEm5Q1virEUB9H0XjWZzF,Don’t-Need-Your-Love,64,False,0.619,0.8809999999999999,7,-4.683,1,0.769,0.0834,kpop
2njbaonul4fuGOFmPchUgU,"Baila-Baila-Baila-(Remix)-[feat.-Farruko,-Anuel-Aa]","image-data/latin/Baila-Baila-Baila-(Remix)-[feat.-Farruko,-Anuel-Aa]-Ozuna.jpg",Ozuna,7mWFF4gPADjTQjC97CgFVt,Baila-Baila-Baila---Remix,73,False,0.785,0.5720000000000001,2,-7.504,1,0.49,0.12300000000000001,latin
2iflMrGtjzufU2Jw7JhoLE,Ahh!-Monica!,image-data/jazz/Ahh!-Monica!-Monica-Zetterlund.jpg,Monica-Zetterlund,5gBWGTO2prExy9yVwhUbOU,Sakta-vi-gå-genom-stan,46,False,0.467,0.335,7,-8.586,1,0.221,0.0485,jazz
1XEJO3GnVcoPClqL2EfgVv,Bullet-Hell,image-data/metal/Bullet-Hell-RichaadEB.jpg,RichaadEB,3urItfkvXw8tPjwNs2lXdd,Bad-Apple!!,60,False,0.574,0.94,1,-4.505,1,0.588,0.0479,metal
1TWgaFNMX3RhaJ0RLikHzm,Tchaikovsky:-The-Nutcracker,image-data/classical/Tchaikovsky:-The-Nutcracker-Pyotr-Ilyich-Tchaikovsky.jpg,Pyotr-Ilyich-Tchaikovsky,6MHqUFizwEP6sA48tprtKx,The-Nutcracker:-Pas-de-deux,0,False,0.205,0.23600000000000002,7,-12.722999999999999,1,0.0599,0.0359,classical
0xsY1jAql8TsKIxLtIjRMw,Bird-Dog,image-data/rock/Bird-Dog-Shaman's-Harvest.jpg,Shaman's-Harvest,0V4pkLuehM6X2INDZmjmlF,Bird-Dog,48,False,0.632,0.672,2,-5.67,1,0.45,0.0353,rock
5Qex4ioxOJfHrnsWbt8Zlj,"Passion,-Pain-&-Pleasure","image-data/r-n-b/Passion,-Pain-&-Pleasure-Trey-Songz.jpg",Trey-Songz,2IpGdrWvIZipmaxo1YRxw5,Bottoms-Up-(feat.-Nicki-Minaj),2,True,0.845,0.601,1,-5.2829999999999995,1,0.32899999999999996,0.161,r-n-b
7qFX9i911Rrls92EdkJcKL,Something,image-data/indie/Something-Dayglow.jpg,Dayglow,5etvVR36xgYO9VawprrrkI,Something,52,False,0.8170000000000001,0.6609999999999999,0,-4.835,0,0.945,0.102,indie
5klPnHQ5dy6Qm2Ul7h1lp5,Anthology,image-data/alternative/Anthology-Alien-Ant-Farm.jpg,Alien-Ant-Farm,5z6xHjCZr7a7AIcy8sPBKy,Smooth-Criminal,74,False,0.653,0.9640000000000001,9,-4.261,0,0.87,0.0582,alternative
3XwLvPyeeyTjFKeBdtC978,Pleaser,image-data/indie/Pleaser-Wallows.jpg,Wallows,11zf7m4vw9Ze7cer9Nyhk1,Pleaser,69,False,0.49700000000000005,0.914,9,-4.308,1,0.385,0.0455,indie
0nbbAhrP5mGGPJymbREtQh,Pathology,image-data/indie/Pathology-Trails-and-Ways.jpg,Trails-and-Ways,741KHLH3d9jRMtl5WJdkmE,Skeletons,34,False,0.61,0.8740000000000001,2,-5.822,1,0.35100000000000003,0.0467,indie
4vEdVmsibS4TDTvdJ07Xae,Last-Light-on-the-Highway,image-data/blues/Last-Light-on-the-Highway-Robert-Jon-&-the-Wreck.jpg,Robert-Jon-&-the-Wreck,2ebAPmQjP4GkGULOtisl5x,Oh-Miss-Carolina,37,False,0.43700000000000006,0.8079999999999999,0,-3.76,1,0.478,0.0355,blues
2aBdyOINaz4J1aap1eoLPW,Ms.-Kelly,image-data/r-n-b/Ms.-Kelly-Kelly-Rowland.jpg,Kelly-Rowland,3sfydNh0QQAdnIAtDVG16H,Like-This-(feat.-Eve),59,False,0.6759999999999999,0.73,1,-5.962999999999999,1,0.489,0.267,r-n-b
3T3ILYTiO0Jh3a6X9bjc8Z,All-The-'50s-Hits,image-data/blues/All-The-'50s-Hits-Muddy-Waters.jpg,Muddy-Waters,4NupKhtYE8TXKbUTC1bHqE,Got-My-Mojo-Working,0,False,0.527,0.75,4,-10.819,1,0.875,0.0567,blues
1O87Gkgvc6QR1JRpMkgnE7,Golden-Road,image-data/country/Golden-Road-Keith-Urban.jpg,Keith-Urban,68Iw932AjRCDEPLIzpmOtF,You’ll-Think-Of-Me,51,False,0.581,0.49,2,-10.657,1,0.45399999999999996,0.0355,country
2LQ4rJo6R2b0XAzaicYtun,Chopin-Gold,image-data/classical/Chopin-Gold-Frédéric-Chopin.jpg,Frédéric-Chopin,6Fn1nJXDFywPRM4J6KsTr2,"Berceuse-In-D-Flat,-Op.57",0,False,0.319,0.0712,1,-26.415,1,0.0835,0.0379,classical
2X2kwcegoaiWfLR8HDRn9b,Feels-Like-Killa-Season,image-data/hip-hop/Feels-Like-Killa-Season-Doley-Bernays.jpg,Doley-Bernays,1QRsljjsJAcpEqB5MljdWC,Feels-Like-Killa-Season,50,True,0.7120000000000001,0.782,6,-4.68,0,0.324,0.369,hip-hop
4gUdYPLEkN5Zm3buxaEwDa,Female-Wolf,image-data/edm/Female-Wolf-Bethese.jpg,Bethese,23jjy4oSOrUdcdGEhJFXqY,Female-Wolf,17,False,0.757,0.0757,10,-21.919,1,0.466,0.047,edm
0Y7qkJVZ06tS2GUCDptzyW,Straight-Outta-Compton,image-data/hip-hop/Straight-Outta-Compton-N.W.A..jpg,N.W.A.,5n8Aro6j1bEGIy7Tpo7FV7,Fuck-Tha-Police,69,True,0.8590000000000001,0.75,8,-8.325,0,0.857,0.303,hip-hop
4he4SQup02hEIQdwhZlZlk,A-B,image-data/blues/A-B-KALEO.jpg,KALEO,7d9sZF7jmepe2EYdETlNWK,Hot-Blood,61,False,0.325,0.903,2,-3.173,1,0.401,0.11699999999999999,blues
4sTNnZi0xkMIaFs8tT96fl,"Love,-Pain-&-The-Whole-Crazy-Thing","image-data/country/Love,-Pain-&-The-Whole-Crazy-Thing-Keith-Urban.jpg",Keith-Urban,10TLpTjjLKcpBN6kayS0mI,Once-In-A-Lifetime,44,False,0.616,0.8370000000000001,0,-5.266,1,0.62,0.0472,country
1QJmLRcuIMMjZ49elafR3K,Holy-Diver,image-data/metal/Holy-Diver-Dio.jpg,Dio,5qFxuUIAwJlzO60vqOiL7y,Rainbow-In-The-Dark,63,False,0.508,0.912,9,-8.049,0,0.682,0.0368,metal
5ahEd7berYIgjRYsIHZa8Y,Worrisome-Heart,image-data/jazz/Worrisome-Heart-Melody-Gardot.jpg,Melody-Gardot,3zh5km8gPDYMiWvmLTsos0,Worrisome-Heart,57,False,0.373,0.278,2,-14.124,0,0.207,0.0476,jazz
7zMg7jqyMONlSKSGHW5jaS,Until-Your-Heart-Stops,image-data/metal/Until-Your-Heart-Stops-Cave-In.jpg,Cave-In,3PI1ctNyHbnmhUqttF59xa,Moral-Eclipse,0,False,0.28300000000000003,0.888,5,-5.734,0,0.16399999999999998,0.0995,metal
3poVlFX7lPm5Q7XKsOGEwk,Version-2.0-(20th-Anniversary-Deluxe-Edition---Remastered),image-data/alternative/Version-2.0-(20th-Anniversary-Deluxe-Edition---Remastered)-Garbage.jpg,Garbage,4FBpkhn8xfmdtZebrcNRmu,When-I-Grow-Up,42,False,0.581,0.841,7,-7.183,0,0.742,0.0386,alternative
6B0znwNH8mpUMNgH7uO1H3,Remember-the-Summer-(feat.-Karra),image-data/edm/Remember-the-Summer-(feat.-Karra)-Ummet-Ozcan.jpg,Ummet-Ozcan,6S2MDC31VIH79OwGU87L0s,Remember-the-Summer-(feat.-Karra),55,False,0.563,0.83,0,-5.984,0,0.146,0.0339,edm
0RIG2BzZFToEUuJtZPZrWB,Raver's-Heart-EP,image-data/edm/Raver's-Heart-EP-AIROD.jpg,AIROD,5uT52SS7TQX305f84xMIxB,Join-Us,49,False,0.6559999999999999,0.902,11,-8.759,0,0.131,0.0395,edm
4YnRwV3h9R5SrDyp3PYUYH,Sleepless,image-data/edm/Sleepless-D.O.D.jpg,D.O.D,0AQ1twwDGVlIVpcHDkGkXD,Sleepless,59,False,0.45299999999999996,0.7170000000000001,6,-5.362,0,0.644,0.0468,edm
22i7hQlbkn3eUvYC4yvCeO,Big-Mood,image-data/alternative/Big-Mood-MUSZETTE.jpg,MUSZETTE,4SFJJplXq6ZNZrvQMIFjas,Power,24,False,0.536,0.882,6,-3.076,1,0.868,0.0998,alternative
2vnCT14EXHJ5ZWdwpqPj7E,Working-Poor,image-data/blues/Working-Poor-Fantastic-Negrito.jpg,Fantastic-Negrito,3izRf9rlci9WN1mSQCze9a,Working-Poor,0,False,0.77,0.396,4,-17.04,0,0.5670000000000001,0.0485,blues
3rwV6PZl7zZqDT0BO05eb2,Lento,image-data/jazz/Lento-Youn-Sun-Nah.jpg,Youn-Sun-Nah,5BsUXjwjAofWEnPbETcK35,Empty-Dream,32,False,0.5329999999999999,0.16899999999999998,10,-16.689,0,0.37200000000000005,0.18,jazz
43WYprY30K1r0pbDmf3amq,Outlaws-Like-Me,image-data/country/Outlaws-Like-Me-Justin-Moore.jpg,Justin-Moore,0aW7CSfoMBKBzLE7VerHyn,If-Heaven-Wasn't-So-Far-Away,59,False,0.374,0.657,11,-6.086,1,0.376,0.0325,country
2xg7iIKoSqaDNpDbJnyCjY,Moving-Pictures-(2011-Remaster),image-data/rock/Moving-Pictures-(2011-Remaster)-Rush.jpg,Rush,3QZ7uX97s82HFYSmQUAN1D,Tom-Sawyer,72,False,0.536,0.9009999999999999,9,-7.211,1,0.6659999999999999,0.0374,rock
5HAN15ZGe6FIFyY4oLuPul,"Soccer-Mommy-&-Friends-Singles-Series,-Vol.-3:-Gentle-Dom","image-data/alternative/Soccer-Mommy-&-Friends-Singles-Series,-Vol.-3:-Gentle-Dom-Soccer-Mommy.jpg",Soccer-Mommy,7hDEqKECXWU1syQCwJsFCb,Indie-Rokkers,44,False,0.763,0.564,11,-7.808,0,0.736,0.028999999999999998,alternative
