album_id,album_name,cover_location,artist,track_id,track_name,popularity,explicit,danceability,key,loudness,modality,energy,valence,speechiness,genre,rgb,color-name,color-hex
6Z6QdCXb3IBonAUSwLP4iB,By-Your-Side-(feat.-Tom-Grennan),image-data/edm/By-Your-Side-(feat.-Tom-Grennan)-Calvin-Harris.jpg,Calvin-Harris,0vR2rIVORmgeKiGIgNT0fV,By-Your-Side-(feat.-Tom-Grennan),86,False,0.733,7,-3.597,1,0.96,0.8109999999999999,0.0295,edm,"(230.63063666398784, 188.5096883650326, 15.117823019912493)",goldenrod,#e6bc0f
3XoemveVVhEFXWbWgyzKem,SS501-스페셜-앨범,image-data/kpop/SS501-스페셜-앨범-SS501.jpg,SS501,4EKS4BdlS8yL7iMbE8G35Z,U-R-Man,47,False,0.81,11,-7.415,0,0.905,0.9079999999999999,0.0342,kpop,"(18.03696339349445, 13.67043948200265, 12.991230753543393)",black,#120d0c
0hbY1zcX84ISm2h3XlyTn5,Confrontation,image-data/edm/Confrontation-Homegrown-Syndrome.jpg,Homegrown-Syndrome,3e1Ky0YseXxGBqxjyzbfyU,Confrontation,31,False,0.8240000000000001,4,-11.556,0,0.6459999999999999,0.708,0.134,edm,"(238.2040228084466, 131.60783883701987, 179.1987279904756)",hotpink,#ee83b3
3cWywjglsOprND0106Mv1s,Die-by-the-Blade,image-data/heavy-metal/Die-by-the-Blade-Beast-In-Black.jpg,Beast-In-Black,7G0n4t8Ul5r0BpS2lw5hYT,Die-by-the-Blade,0,False,0.552,8,-6.523,0,0.8640000000000001,0.898,0.0375,heavy-metal,"(35.33310465736718, 33.87075996646086, 24.411540513758673)",black,#232118
00UsuOsS3TvApV8OH4ba6P,i-miss-new-york,image-data/edm/i-miss-new-york-warner-case.jpg,warner-case,1BbrIpVnqNzTJqBBYvfgkY,i-miss-new-york,44,False,0.7509999999999999,5,-10.677,1,0.6729999999999999,0.511,0.213,edm,"(252.29653450613412, 173.69390893158294, 166.59093614629145)",lightpink,#fcada6
0fm7SRk4ucI8nYt2UINwDS,Final-Breath,image-data/metal/Final-Breath-The-Browning.jpg,The-Browning,2VK9R7kmVxqsmdNPDC6JDT,Final-Breath,34,False,0.13699999999999998,7,-4.629,1,0.946,0.171,0.099,metal,"(23.277235189863873, 16.25219653833101, 39.04562766318489)",black,#171027
4nXBMHX7WGzRYtvj3kE9Vb,RELOAD-[reloaded],image-data/edm/RELOAD-[reloaded]-Kaleena-Zanders.jpg,Kaleena-Zanders,1BcpbBKe8IEziSopTh2m1v,RELOAD-(reloaded-by-Lee-Wilson),42,False,0.654,11,-4.702,0,0.86,0.858,0.0344,edm,"(3.2450667127250767, 1.7121853275184584, 1.8394360723692744)",black,#030101
5Yd0a6Ma2Lwob4wJsOqt2k,Somewhere-Nowhere---Bottle-It-Up,image-data/alternative/Somewhere-Nowhere---Bottle-It-Up-Hundredth.jpg,Hundredth,57Pyz11Pq4oFn5BoD0VhHi,Somewhere-Nowhere,15,False,0.265,1,-4.022,1,0.8690000000000001,0.284,0.0777,alternative,"(35.50452266016778, 50.92252894033838, 68.49927356235648)",darkslategray,#233244
43iBTEWECK7hSnE0p6GgNo,The-Emancipation-of-Mimi,image-data/r-n-b/The-Emancipation-of-Mimi-Mariah-Carey.jpg,Mariah-Carey,3LmvfNUQtglbTrydsdIqFU,We-Belong-Together,70,False,0.8370000000000001,0,-7.89,1,0.462,0.762,0.0601,r-n-b,"(3.524431609827652, 4.0424229922992305, 5.4936285295196186)",black,#030405
6LrheEX4HOEDjAh5oj4Q9c,Hooray-For-Love,image-data/jazz/Hooray-For-Love-Curtis-Stigers.jpg,Curtis-Stigers,2bUK1EW5FPfpNDLO42XKqV,Love-Is-Here-To-Stay,51,False,0.65,7,-13.318,0,0.138,0.331,0.039,jazz,"(217.4249372548064, 206.530081142328, 191.73517873242523)",lightgray,#d9cebf
